id,title,ideology,headquarter,audience,region,format,year,month,day,link
83,La Dinastia,conservative,barcelona,adult,catalonia,daily,1896,3,7,https://hemerotecadigital.bne.es/hd/es/viewer?id=f0249ced-40d0-4334-bb25-2fb791a2707e
84,La Dinastia,conservative,barcelona,adult,catalonia,daily,1896,7,24,https://hemerotecadigital.bne.es/hd/es/viewer?id=5b37e78a-d7e4-4e99-bb09-9408a24b3e6d
85,La Dinastia,conservative,barcelona,adult,catalonia,daily,1901,6,11,https://hemerotecadigital.bne.es/hd/es/viewer?id=e0158feb-2724-4b12-861d-79aeea22b3d9
86,La Dinastia,conservative,barcelona,adult,catalonia,daily,1901,7,14,https://hemerotecadigital.bne.es/hd/es/viewer?id=7306a65f-342b-4e2a-b940-774598ce778a
87,Las Noticias,liberal,barcelona,adult,national,daily,1898,3,9,https://hemerotecadigital.bne.es/hd/es/viewer?id=18468cb8-f3d2-42ab-a755-b98c6bcb502c
88,Las Noticias,liberal,barcelona,adult,national,daily,1899,8,16,https://hemerotecadigital.bne.es/hd/es/viewer?id=5f4df02b-721a-4618-9792-8e86a64ed944
89,Las Noticias,liberal,barcelona,adult,national,daily,1901,9,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=19964d04-97bb-4a7d-87ba-fb6966f631b9
90,Solidaridad Obrera,anarchist,barcelona,adult,national,weekly,1936,11,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=bdfc2a84-bf5e-424e-a6be-e5d9cdbb2373
91,Solidaridad Obrera,anarchist,barcelona,adult,national,weekly,1937,12,9,https://hemerotecadigital.bne.es/hd/es/viewer?id=e9844fd4-c779-41a9-92d7-c4ac4fa436ab
92,Solidaridad Obrera,anarchist,barcelona,adult,national,weekly,1937,6,17,https://hemerotecadigital.bne.es/hd/es/viewer?id=adb99069-b0df-4722-907a-941851b1a8a4
93,Solidaridad Obrera,anarchist,barcelona,adult,national,weekly,1938,6,9,https://hemerotecadigital.bne.es/hd/es/viewer?id=4558b364-ac22-4e3b-894c-67838f5c6ca1
94,Solidaridad Obrera,anarchist,barcelona,adult,national,weekly,1938,8,18,https://hemerotecadigital.bne.es/hd/es/viewer?id=64cd14fe-f657-48ad-946c-f368de37ed21
95,Solidaridad Obrera,anarchist,barcelona,adult,national,weekly,1939,1,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=18c5f3ac-8b05-45a1-96c1-e72859015150
96,Vida socialista,socialist,madrid,youth,national,magazine,1910,2,20,https://hemerotecadigital.bne.es/hd/es/viewer?id=3e9042d9-c618-4eda-931b-1dfe287f006d
97,Vida socialista,socialist,madrid,youth,national,magazine,1910,7,24,https://hemerotecadigital.bne.es/hd/es/viewer?id=55a64676-d914-4dc9-9c03-4e822e6a983d
98,Vida socialista,socialist,madrid,youth,national,magazine,1911,12,17,https://hemerotecadigital.bne.es/hd/es/viewer?id=fc68430d-7115-40e3-8672-088925dca967
99,Vida socialista,socialist,madrid,youth,national,magazine,1911,4,16,https://hemerotecadigital.bne.es/hd/es/viewer?id=37bd931f-9223-4f17-838d-448ff691e5bb
100,Vida socialista,socialist,madrid,youth,national,magazine,1912,7,14,https://hemerotecadigital.bne.es/hd/es/viewer?id=a627c4fb-eadb-45cc-a723-1fb711f49be9
